Tire Compound,Track Temperature,Laps Driven,Track Surface,Car Weight (kg),Driving Style,Weather,Tire Wear (%)
Medium,13,15,Smooth,699,Conservative,Wet,39.74285714285714
Soft,30,59,Smooth,664,Balanced,Dry,64.42857142857143
Soft,22,11,Smooth,727,Conservative,Dry,45.97142857142857
Hard,31,2,Smooth,650,Conservative,Dry,31.485714285714288
Soft,28,62,Smooth,621,Balanced,Dry,64.45714285714286
Wet,43,63,Smooth,709,Conservative,Dry,52.599999999999994
Hard,23,61,Rough,670,Aggressive,Dry,73.31428571428572
Soft,13,5,Rough,632,Aggressive,Wet,83.31428571428572
Wet,36,18,Rough,726,Aggressive,Wet,84.77142857142857
Hard,38,17,Smooth,708,Conservative,Dry,35.028571428571425
Wet,37,42,Rough,699,Aggressive,Wet,88.4
Hard,44,2,Rough,643,Aggressive,Wet,74.08571428571429
Medium,17,37,Smooth,606,Balanced,Dry,48.68571428571428
Soft,25,67,Rough,727,Balanced,Wet,84.57142857142857
Medium,45,43,Smooth,690,Balanced,Dry,55.14285714285714
Soft,39,62,Rough,729,Balanced,Wet,86.65714285714286
Hard,27,41,Smooth,616,Conservative,Dry,36.25714285714286
Wet,11,63,Smooth,664,Aggressive,Wet,71.2
Wet,22,53,Rough,709,Balanced,Dry,71.97142857142858
Medium,13,36,Rough,629,Balanced,Wet,67.74285714285713
Wet,35,3,Smooth,691,Conservative,Dry,42.42857142857143
Wet,34,1,Smooth,674,Aggressive,Dry,61.942857142857136
Hard,39,43,Smooth,704,Aggressive,Dry,58.94285714285715
Soft,20,66,Rough,630,Aggressive,Dry,88.42857142857142
Hard,16,67,Smooth,696,Conservative,Dry,37.77142857142857
Hard,40,61,Rough,650,Balanced,Dry,66.71428571428571
Wet,19,0,Rough,657,Conservative,Dry,53.8
Soft,48,16,Smooth,633,Conservative,Wet,56.885714285714286
Soft,22,15,Smooth,620,Balanced,Dry,56.542857142857144
Hard,40,8,Smooth,636,Aggressive,Dry,54.142857142857146
Soft,16,52,Smooth,663,Aggressive,Dry,70.62857142857142
Hard,45,58,Rough,746,Conservative,Dry,57.285714285714285
Soft,29,8,Smooth,723,Aggressive,Wet,71.94285714285714
Hard,13,11,Rough,700,Aggressive,Dry,64.17142857142858
Wet,16,40,Rough,718,Balanced,Wet,73.91428571428571
Soft,10,14,Smooth,684,Conservative,Wet,49.0
Hard,22,65,Smooth,677,Balanced,Dry,48.68571428571428
Soft,31,10,Rough,703,Conservative,Wet,67.62857142857143
Hard,30,7,Smooth,671,Conservative,Dry,32.0
Soft,31,54,Rough,702,Balanced,Dry,78.91428571428571
Wet,37,5,Smooth,676,Balanced,Wet,58.114285714285714
Wet,18,52,Smooth,709,Balanced,Dry,56.02857142857143
Hard,35,19,Smooth,618,Conservative,Wet,39.714285714285715
Medium,18,38,Rough,729,Conservative,Wet,59.028571428571425
Wet,24,33,Rough,733,Aggressive,Dry,79.51428571428572
Hard,19,56,Smooth,732,Aggressive,Dry,56.8
Soft,33,18,Smooth,661,Aggressive,Dry,69.17142857142858
Soft,17,30,Rough,702,Aggressive,Dry,82.68571428571428
Hard,33,39,Smooth,699,Balanced,Dry,47.17142857142857
Soft,25,13,Smooth,651,Conservative,Dry,46.85714285714286
Wet,35,36,Rough,648,Aggressive,Wet,87.14285714285715
Medium,36,43,Smooth,699,Balanced,Dry,53.34285714285714
Medium,46,8,Smooth,725,Aggressive,Dry,60.34285714285714
Wet,13,57,Rough,717,Aggressive,Dry,80.74285714285715
Medium,33,19,Rough,653,Balanced,Dry,64.31428571428572
Soft,28,49,Smooth,718,Aggressive,Wet,77.6
Medium,45,19,Rough,732,Balanced,Wet,71.71428571428571
Soft,48,35,Smooth,736,Conservative,Dry,54.6
Soft,19,26,Smooth,697,Balanced,Dry,57.514285714285705
Hard,34,31,Rough,635,Aggressive,Wet,76.22857142857143
Hard,27,0,Rough,747,Aggressive,Dry,65.4
Wet,28,16,Rough,680,Balanced,Dry,67.88571428571429
Soft,45,8,Smooth,684,Aggressive,Dry,70.14285714285714
Soft,19,44,Rough,682,Balanced,Wet,80.08571428571429
Medium,42,65,Rough,662,Aggressive,Wet,87.68571428571428
Hard,14,31,Smooth,666,Aggressive,Dry,52.22857142857143
Wet,44,44,Smooth,602,Balanced,Wet,65.08571428571429
Wet,43,8,Rough,641,Balanced,Wet,74.74285714285715
Medium,42,29,Smooth,623,Conservative,Wet,47.542857142857144
Wet,30,37,Rough,643,Aggressive,Wet,86.28571428571428
Medium,26,59,Rough,728,Conservative,Dry,58.62857142857143
Wet,31,0,Smooth,714,Balanced,Wet,56.2
Soft,46,4,Rough,635,Aggressive,Wet,89.77142857142857
Soft,24,62,Smooth,637,Conservative,Wet,58.65714285714286
Soft,44,35,Smooth,681,Aggressive,Dry,73.8
Hard,37,64,Rough,628,Conservative,Wet,61.542857142857144
Medium,16,23,Smooth,640,Conservative,Wet,41.48571428571429
Hard,41,3,Smooth,687,Aggressive,Wet,58.62857142857143
Wet,20,67,Smooth,647,Aggressive,Wet,73.57142857142858
Wet,19,24,Rough,713,Aggressive,Wet,82.22857142857143
Hard,18,6,Smooth,621,Balanced,Dry,39.457142857142856
Medium,23,12,Smooth,698,Aggressive,Dry,56.31428571428572
Medium,22,67,Rough,616,Conservative,Wet,63.97142857142857
Wet,34,42,Rough,685,Aggressive,Wet,87.80000000000001
Wet,11,56,Smooth,732,Conservative,Wet,50.2
Hard,44,35,Rough,660,Conservative,Dry,53.8
Soft,16,13,Smooth,688,Aggressive,Dry,65.05714285714285
Soft,30,26,Rough,733,Aggressive,Dry,84.71428571428572
Soft,27,36,Rough,680,Aggressive,Dry,85.54285714285714
Hard,12,24,Smooth,694,Aggressive,Wet,55.82857142857143
Wet,48,66,Rough,744,Aggressive,Dry,89.02857142857144
Wet,20,3,Rough,658,Balanced,Dry,64.42857142857143
Wet,48,15,Rough,653,Aggressive,Dry,81.74285714285715
Wet,33,18,Smooth,725,Aggressive,Dry,64.17142857142858
Hard,28,28,Smooth,647,Aggressive,Wet,59.6
Hard,13,50,Rough,667,Conservative,Dry,49.74285714285714
Soft,35,17,Smooth,706,Balanced,Dry,59.42857142857143
Soft,47,57,Rough,677,Aggressive,Wet,97.54285714285714
Wet,41,43,Smooth,676,Balanced,Dry,59.34285714285714
Soft,48,15,Smooth,626,Balanced,Dry,61.74285714285715
Soft,45,64,Rough,687,Balanced,Dry,83.14285714285714
Hard,49,1,Rough,671,Balanced,Dry,59.94285714285715
Wet,46,55,Rough,646,Conservative,Wet,72.05714285714285
Wet,42,27,Smooth,702,Aggressive,Dry,67.25714285714287
Hard,45,64,Rough,620,Balanced,Wet,73.14285714285714
Wet,12,4,Smooth,714,Balanced,Dry,47.971428571428575
Wet,18,21,Rough,656,Conservative,Dry,56.6
Wet,17,12,Smooth,704,Balanced,Wet,55.11428571428571
Hard,42,64,Rough,694,Conservative,Wet,62.542857142857144
Hard,15,15,Smooth,709,Aggressive,Wet,55.14285714285714
Medium,48,63,Rough,626,Balanced,Wet,78.6
Medium,13,31,Smooth,727,Aggressive,Wet,62.028571428571425
Medium,22,50,Rough,675,Balanced,Dry,66.54285714285714
Medium,11,57,Smooth,634,Conservative,Wet,45.34285714285715
Wet,14,45,Rough,697,Balanced,Wet,74.22857142857143
Soft,36,51,Smooth,743,Balanced,Wet,69.48571428571428
Wet,41,62,Smooth,635,Balanced,Wet,67.05714285714285
Soft,30,59,Rough,665,Aggressive,Wet,94.42857142857143
Soft,17,64,Smooth,655,Aggressive,Dry,72.54285714285714
Soft,47,54,Rough,744,Conservative,Wet,77.11428571428571
Hard,17,56,Smooth,747,Balanced,Wet,51.400000000000006
Medium,12,25,Smooth,693,Conservative,Dry,35.971428571428575
Wet,12,11,Smooth,705,Conservative,Dry,38.971428571428575
Wet,31,45,Rough,683,Conservative,Wet,67.62857142857143
Soft,15,46,Rough,735,Balanced,Dry,74.57142857142857
Medium,11,37,Rough,745,Conservative,Wet,57.485714285714295
Medium,32,20,Smooth,617,Aggressive,Dry,59.25714285714285
Medium,11,13,Smooth,745,Aggressive,Dry,54.05714285714286
Soft,47,1,Smooth,724,Balanced,Dry,59.54285714285714
Hard,26,69,Smooth,601,Conservative,Wet,45.05714285714285
Wet,44,32,Smooth,675,Aggressive,Wet,73.37142857142857
Soft,43,5,Rough,737,Aggressive,Dry,84.31428571428572
Medium,32,36,Smooth,741,Balanced,Wet,56.542857142857144
Medium,39,13,Smooth,625,Conservative,Wet,44.65714285714286
Wet,17,36,Rough,646,Conservative,Wet,63.542857142857144
Hard,31,7,Rough,629,Conservative,Dry,47.2
Hard,45,12,Smooth,655,Aggressive,Dry,55.71428571428571
Soft,14,39,Smooth,718,Balanced,Dry,58.371428571428574
Hard,22,57,Smooth,731,Aggressive,Dry,57.542857142857144
Wet,38,17,Rough,738,Conservative,Dry,60.028571428571425
Hard,40,56,Smooth,729,Balanced,Wet,56.0
Wet,25,37,Smooth,739,Conservative,Dry,45.285714285714285
Medium,39,31,Rough,620,Balanced,Wet,72.22857142857143
Soft,25,65,Smooth,667,Aggressive,Wet,79.28571428571429
Hard,21,24,Smooth,725,Balanced,Wet,47.62857142857143
Wet,26,57,Smooth,642,Conservative,Dry,48.34285714285714
Hard,25,32,Rough,699,Conservative,Dry,49.57142857142857
Hard,21,65,Smooth,722,Aggressive,Wet,63.48571428571429
Hard,17,29,Rough,692,Aggressive,Wet,72.54285714285714
Hard,29,33,Rough,739,Balanced,Wet,65.51428571428572
Hard,12,68,Rough,728,Aggressive,Wet,77.11428571428571
Wet,25,47,Smooth,715,Balanced,Wet,61.71428571428571
Hard,39,39,Smooth,714,Conservative,Wet,43.371428571428574
Hard,32,50,Smooth,741,Aggressive,Wet,63.542857142857144
Medium,37,12,Smooth,718,Aggressive,Wet,64.11428571428571
Hard,49,30,Smooth,692,Conservative,Wet,44.08571428571428
Medium,14,38,Rough,741,Balanced,Dry,63.22857142857143
Medium,29,62,Rough,608,Aggressive,Wet,84.65714285714286
Soft,49,47,Smooth,672,Aggressive,Wet,81.5142857142857
Medium,10,47,Rough,625,Conservative,Dry,53.71428571428572
Hard,39,60,Smooth,705,Aggressive,Wet,66.37142857142857
Wet,30,11,Smooth,744,Aggressive,Dry,62.57142857142857
Soft,29,55,Rough,667,Balanced,Dry,78.65714285714286
Soft,15,17,Smooth,709,Balanced,Dry,55.42857142857143
Soft,31,26,Smooth,730,Conservative,Wet,54.91428571428571
Hard,27,27,Rough,624,Balanced,Wet,64.25714285714285
Hard,17,51,Rough,620,Conservative,Wet,55.68571428571428
Hard,48,15,Smooth,739,Balanced,Dry,46.74285714285715
Medium,41,57,Smooth,653,Aggressive,Wet,71.34285714285714
Hard,42,8,Rough,600,Aggressive,Dry,69.54285714285714
Soft,25,25,Smooth,727,Balanced,Wet,63.57142857142858
Hard,21,27,Rough,600,Aggressive,Dry,68.05714285714286
Hard,47,35,Smooth,734,Balanced,Dry,49.39999999999999
Hard,43,8,Rough,609,Aggressive,Wet,74.74285714285715
Medium,23,46,Smooth,742,Conservative,Dry,41.17142857142858
Hard,45,50,Rough,639,Conservative,Wet,61.14285714285714
Wet,42,56,Rough,738,Balanced,Dry,76.39999999999999
Wet,32,31,Rough,644,Balanced,Wet,75.82857142857142
Hard,11,66,Smooth,686,Conservative,Wet,41.628571428571426
Wet,30,56,Rough,740,Aggressive,Dry,84.0
Medium,11,53,Rough,626,Balanced,Wet,69.77142857142857
Medium,36,15,Smooth,649,Conservative,Dry,39.34285714285714
Soft,18,61,Smooth,660,Balanced,Wet,67.31428571428572
Hard,10,55,Smooth,612,Conservative,Wet,39.85714285714286
Soft,20,22,Rough,739,Aggressive,Dry,82.14285714285715
Soft,12,16,Rough,684,Balanced,Wet,74.68571428571428
Soft,32,37,Smooth,683,Conservative,Wet,56.68571428571429
Hard,35,29,Smooth,619,Aggressive,Wet,61.14285714285714
Medium,13,57,Smooth,630,Balanced,Dry,50.74285714285714
Wet,27,21,Rough,607,Conservative,Dry,58.4
Soft,15,16,Smooth,623,Balanced,Dry,55.285714285714285
Wet,44,14,Smooth,632,Conservative,Wet,50.8
Soft,31,47,Smooth,641,Balanced,Wet,67.91428571428571
Hard,24,31,Rough,742,Balanced,Dry,59.22857142857143
Soft,31,39,Smooth,738,Aggressive,Dry,71.77142857142857
Medium,46,56,Smooth,693,Balanced,Dry,57.199999999999996
Wet,21,57,Smooth,636,Aggressive,Dry,67.34285714285714
Wet,47,15,Rough,746,Balanced,Dry,71.54285714285714
Hard,27,27,Rough,633,Aggressive,Dry,69.25714285714285
Hard,44,0,Smooth,652,Balanced,Wet,48.8
Wet,39,40,Rough,739,Balanced,Wet,78.51428571428572
Soft,33,47,Rough,695,Conservative,Wet,73.31428571428572
Medium,39,30,Rough,704,Conservative,Wet,62.08571428571428
Wet,23,35,Rough,647,Aggressive,Wet,84.60000000000001
Medium,15,32,Rough,639,Conservative,Dry,52.57142857142857
Soft,12,32,Smooth,687,Balanced,Dry,56.971428571428575
Hard,25,22,Smooth,642,Conservative,Wet,38.14285714285714
Wet,16,59,Rough,616,Balanced,Wet,76.62857142857143
Wet,23,29,Rough,701,Aggressive,Dry,78.74285714285713
Medium,18,44,Smooth,710,Balanced,Dry,49.885714285714286
Hard,24,38,Rough,669,Balanced,Dry,60.22857142857143
Wet,30,44,Rough,659,Conservative,Wet,67.28571428571429
Hard,44,11,Rough,676,Balanced,Wet,65.37142857142857
Wet,11,31,Rough,634,Aggressive,Wet,81.62857142857142
Wet,36,55,Smooth,615,Conservative,Dry,50.05714285714285
Medium,11,23,Rough,745,Aggressive,Wet,75.4857142857143
Hard,44,12,Rough,637,Aggressive,Wet,75.51428571428572
Medium,27,19,Smooth,631,Balanced,Wet,53.114285714285714
Medium,23,55,Rough,606,Balanced,Dry,67.45714285714286
Wet,29,52,Smooth,645,Balanced,Dry,58.22857142857143
Hard,27,67,Smooth,617,Aggressive,Wet,64.97142857142858
Hard,19,53,Smooth,670,Aggressive,Dry,56.37142857142857
Medium,34,33,Smooth,639,Balanced,Dry,51.51428571428571
Soft,11,27,Rough,687,Balanced,Wet,76.05714285714286
Hard,34,49,Rough,677,Balanced,Dry,63.8
Soft,42,1,Rough,604,Aggressive,Dry,83.54285714285714
Hard,45,25,Smooth,685,Conservative,Wet,42.57142857142857
Hard,40,50,Rough,621,Conservative,Wet,60.14285714285714
Soft,23,46,Smooth,673,Aggressive,Wet,76.17142857142858
Soft,10,25,Smooth,689,Conservative,Wet,50.57142857142857
Hard,25,60,Smooth,678,Aggressive,Dry,58.57142857142858
Wet,12,22,Rough,718,Balanced,Wet,70.54285714285714
Medium,44,36,Rough,728,Aggressive,Wet,83.94285714285715
Wet,15,40,Smooth,677,Balanced,Wet,58.71428571428571
Medium,34,51,Smooth,635,Balanced,Dry,54.08571428571429
Wet,22,48,Rough,694,Aggressive,Dry,81.25714285714284
Soft,43,26,Smooth,627,Aggressive,Wet,77.31428571428572
Soft,17,5,Smooth,697,Conservative,Dry,44.114285714285714
Medium,30,65,Rough,634,Conservative,Dry,60.285714285714285
Hard,43,23,Rough,661,Balanced,Wet,66.88571428571429
Soft,13,37,Rough,686,Balanced,Wet,77.88571428571429
Medium,34,27,Rough,707,Balanced,Wet,70.65714285714286
Medium,24,27,Rough,724,Balanced,Wet,68.65714285714286
Soft,13,65,Rough,678,Balanced,Wet,81.88571428571429
Hard,21,60,Smooth,724,Balanced,Wet,52.77142857142857
Soft,41,45,Rough,660,Balanced,Wet,84.62857142857143
Hard,41,68,Rough,625,Conservative,Wet,62.91428571428572
Hard,37,42,Rough,656,Conservative,Dry,53.4
Hard,22,58,Smooth,731,Conservative,Wet,42.68571428571428
Wet,40,1,Smooth,641,Aggressive,Wet,68.14285714285714
Hard,23,14,Rough,621,Conservative,Wet,51.6
Medium,29,36,Smooth,738,Aggressive,Wet,65.94285714285715
Hard,27,19,Rough,689,Aggressive,Dry,68.11428571428571
Hard,38,34,Smooth,657,Conservative,Wet,42.457142857142856
Hard,15,33,Smooth,606,Conservative,Wet,37.714285714285715
Hard,41,30,Smooth,735,Aggressive,Wet,62.48571428571428
Hard,38,18,Rough,650,Balanced,Wet,65.17142857142856
Hard,11,67,Smooth,689,Aggressive,Wet,61.77142857142857
Medium,32,23,Rough,707,Conservative,Wet,59.68571428571429
Hard,28,38,Rough,608,Aggressive,Wet,76.02857142857144
Soft,40,53,Rough,637,Conservative,Dry,70.57142857142857
Wet,14,38,Smooth,710,Aggressive,Wet,68.22857142857143
Medium,28,16,Rough,612,Balanced,Wet,67.88571428571429
Hard,43,18,Smooth,606,Aggressive,Wet,61.17142857142858
Wet,19,47,Smooth,738,Conservative,Wet,50.51428571428572
Medium,34,34,Smooth,666,Aggressive,Dry,61.65714285714286
Medium,11,31,Rough,640,Balanced,Dry,61.628571428571426
Wet,20,46,Rough,615,Balanced,Wet,75.57142857142857
Hard,40,46,Smooth,643,Conservative,Dry,39.57142857142857
Medium,24,63,Smooth,649,Balanced,Dry,53.8
Wet,18,45,Smooth,733,Balanced,Wet,60.028571428571425
Medium,32,34,Rough,617,Aggressive,Dry,76.25714285714287
Soft,28,16,Smooth,746,Aggressive,Dry,67.88571428571429
Soft,18,41,Smooth,650,Conservative,Dry,49.457142857142856
Hard,44,28,Rough,602,Balanced,Wet,67.8
Hard,30,69,Smooth,688,Balanced,Dry,50.857142857142854
Wet,18,16,Smooth,653,Aggressive,Wet,65.88571428571429
Medium,37,13,Smooth,648,Conservative,Wet,44.25714285714286
Hard,16,23,Rough,627,Balanced,Dry,56.48571428571429
Soft,25,56,Rough,637,Conservative,Dry,68.0
Hard,25,49,Smooth,627,Conservative,Dry,37.0
Hard,42,56,Rough,631,Balanced,Dry,66.39999999999999
Hard,13,60,Smooth,640,Aggressive,Wet,61.17142857142858
Medium,13,38,Rough,635,Balanced,Dry,63.028571428571425
Soft,48,54,Rough,702,Conservative,Wet,77.31428571428572
Hard,49,35,Smooth,635,Aggressive,Wet,64.80000000000001
Wet,26,36,Smooth,706,Conservative,Dry,45.34285714285714
Hard,46,13,Rough,725,Conservative,Wet,56.05714285714286
Hard,48,26,Smooth,686,Conservative,Dry,38.31428571428572
Hard,38,30,Rough,665,Aggressive,Dry,71.88571428571429
Wet,45,43,Rough,737,Aggressive,Wet,90.14285714285714
Medium,47,67,Smooth,669,Conservative,Dry,48.97142857142857
Hard,48,47,Rough,678,Conservative,Dry,56.31428571428572
Wet,46,56,Rough,692,Balanced,Wet,82.19999999999999
Hard,44,21,Rough,691,Conservative,Wet,56.8
Wet,16,3,Smooth,621,Conservative,Dry,38.628571428571426
Wet,36,45,Rough,619,Aggressive,Dry,83.62857142857143
Soft,37,58,Smooth,632,Aggressive,Wet,80.68571428571428
Medium,31,33,Rough,742,Aggressive,Wet,80.91428571428573
Soft,23,10,Smooth,734,Aggressive,Dry,66.02857142857144
Hard,16,30,Rough,689,Conservative,Dry,47.485714285714295
Soft,46,10,Rough,649,Conservative,Dry,65.62857142857143
Medium,31,55,Rough,609,Balanced,Dry,69.05714285714285
Wet,14,37,Smooth,678,Aggressive,Dry,63.08571428571429
Hard,11,20,Smooth,636,Conservative,Dry,30.057142857142857
Wet,36,9,Smooth,658,Conservative,Wet,48.48571428571429
Medium,30,25,Smooth,687,Conservative,Wet,44.57142857142857
Medium,47,7,Smooth,703,Aggressive,Dry,60.4
Medium,24,7,Smooth,662,Conservative,Dry,35.8
Hard,30,59,Smooth,620,Conservative,Wet,44.42857142857143
Medium,19,33,Rough,703,Aggressive,Wet,78.51428571428572
Wet,32,15,Smooth,678,Conservative,Dry,43.542857142857144
Hard,48,12,Smooth,636,Balanced,Wet,51.31428571428572
Wet,14,21,Rough,644,Aggressive,Wet,80.8
Hard,10,26,Rough,741,Balanced,Wet,60.71428571428571
Medium,22,63,Rough,642,Conservative,Dry,58.4
Hard,30,1,Smooth,715,Aggressive,Dry,51.14285714285714
Hard,35,25,Smooth,684,Balanced,Wet,50.57142857142857
Medium,30,68,Rough,683,Balanced,Dry,70.71428571428571
Wet,27,29,Smooth,602,Aggressive,Wet,69.54285714285714
Wet,46,7,Rough,703,Balanced,Dry,70.19999999999999
Hard,41,37,Rough,686,Aggressive,Dry,73.4857142857143
Medium,45,60,Smooth,710,Balanced,Dry,57.57142857142857
Soft,26,64,Rough,686,Balanced,Dry,79.34285714285714
Hard,44,66,Smooth,690,Aggressive,Wet,68.22857142857143
Medium,20,45,Smooth,634,Balanced,Dry,50.42857142857143
Hard,30,42,Rough,695,Conservative,Wet,57.0
Wet,35,58,Rough,685,Conservative,Dry,65.28571428571428
Hard,13,45,Smooth,735,Aggressive,Wet,59.02857142857143
Hard,43,34,Smooth,715,Aggressive,Wet,63.457142857142856
Soft,27,38,Smooth,745,Balanced,Wet,65.82857142857142
Wet,49,50,Smooth,691,Balanced,Wet,66.94285714285714
Wet,44,3,Smooth,739,Aggressive,Dry,64.22857142857143
Wet,38,50,Smooth,601,Aggressive,Wet,74.74285714285715
Hard,38,4,Rough,723,Balanced,Dry,58.171428571428564
Medium,47,54,Rough,603,Conservative,Wet,67.11428571428571
Medium,30,19,Smooth,708,Aggressive,Wet,63.71428571428572
Soft,22,23,Smooth,710,Conservative,Wet,52.68571428571428
Soft,26,35,Smooth,633,Aggressive,Wet,75.19999999999999
Soft,18,33,Rough,686,Balanced,Wet,78.31428571428572
Wet,10,53,Smooth,612,Conservative,Wet,49.57142857142857
Soft,11,33,Rough,606,Aggressive,Wet,86.91428571428573
Wet,38,16,Smooth,631,Aggressive,Dry,64.88571428571429
Hard,42,4,Rough,622,Conservative,Dry,48.97142857142857
Medium,19,17,Rough,646,Conservative,Dry,51.22857142857143
Medium,49,54,Smooth,628,Conservative,Dry,47.514285714285705
Soft,30,52,Rough,622,Aggressive,Dry,88.42857142857143
Wet,37,49,Rough,637,Conservative,Wet,69.4
Medium,20,44,Smooth,726,Conservative,Wet,45.285714285714285
Hard,43,12,Rough,643,Conservative,Wet,55.31428571428571
Hard,17,15,Rough,604,Aggressive,Dry,65.54285714285714
Wet,31,12,Smooth,639,Aggressive,Wet,67.91428571428571
Soft,17,19,Rough,738,Aggressive,Dry,81.11428571428573
Hard,24,65,Smooth,677,Balanced,Wet,54.08571428571428
Wet,26,46,Smooth,705,Aggressive,Dry,66.77142857142857
Hard,32,18,Rough,729,Aggressive,Dry,68.97142857142856
Wet,33,44,Rough,648,Conservative,Dry,62.885714285714286
Soft,28,36,Smooth,722,Conservative,Dry,50.74285714285715
Hard,14,53,Rough,634,Balanced,Wet,65.37142857142857
Soft,41,5,Smooth,705,Aggressive,Wet,73.91428571428571
Medium,10,13,Smooth,671,Aggressive,Wet,58.85714285714286
Hard,32,3,Smooth,708,Balanced,Dry,41.828571428571436
Medium,46,54,Rough,724,Conservative,Wet,66.91428571428571
Hard,17,33,Rough,670,Conservative,Dry,48.114285714285714
Soft,22,26,Rough,638,Balanced,Wet,78.11428571428571
Soft,17,6,Rough,690,Aggressive,Dry,79.25714285714285
Medium,32,2,Rough,636,Conservative,Dry,51.68571428571429
Soft,10,46,Smooth,680,Balanced,Dry,58.57142857142858
Soft,33,1,Rough,731,Aggressive,Wet,86.74285714285715
Hard,44,24,Rough,622,Aggressive,Dry,72.22857142857143
Wet,33,59,Rough,741,Aggressive,Wet,90.02857142857141
Medium,26,23,Smooth,604,Conservative,Dry,38.48571428571429
Soft,14,14,Rough,709,Aggressive,Dry,79.80000000000001
Hard,29,13,Rough,617,Balanced,Dry,57.65714285714286
Hard,30,53,Rough,626,Aggressive,Dry,73.57142857142858
Medium,49,5,Rough,623,Aggressive,Dry,75.51428571428572
Medium,40,17,Rough,628,Aggressive,Dry,75.42857142857143
Hard,45,19,Smooth,738,Balanced,Dry,46.71428571428571
Soft,20,61,Rough,745,Aggressive,Wet,92.71428571428572
Medium,24,39,Smooth,722,Balanced,Wet,55.371428571428574
Medium,28,38,Rough,727,Aggressive,Dry,76.02857142857144
Medium,16,51,Rough,711,Aggressive,Dry,75.48571428571428
Medium,37,31,Rough,716,Balanced,Wet,71.82857142857144
Hard,14,26,Smooth,731,Aggressive,Wet,56.51428571428571
Wet,14,51,Rough,632,Aggressive,Dry,80.08571428571429
Medium,39,62,Smooth,641,Balanced,Dry,56.65714285714286
Medium,41,62,Rough,724,Conservative,Wet,67.05714285714285
Hard,17,16,Smooth,603,Aggressive,Wet,55.68571428571428
Medium,19,48,Rough,619,Conservative,Wet,60.65714285714286
Hard,47,22,Rough,667,Conservative,Dry,52.542857142857144
Hard,41,12,Smooth,657,Conservative,Wet,39.91428571428571
Hard,37,22,Smooth,679,Balanced,Wet,50.542857142857144
Hard,26,56,Rough,733,Conservative,Wet,58.2
Hard,40,61,Smooth,694,Conservative,Dry,41.71428571428571
Wet,17,53,Smooth,603,Aggressive,Dry,65.97142857142858
Medium,49,19,Smooth,643,Balanced,Wet,57.514285714285705
Medium,34,51,Smooth,724,Aggressive,Wet,69.08571428571429
Medium,18,22,Rough,641,Balanced,Dry,61.74285714285715
Wet,11,34,Rough,628,Balanced,Wet,72.05714285714286
Medium,24,66,Smooth,746,Balanced,Dry,54.22857142857143
Soft,12,33,Rough,643,Aggressive,Dry,82.11428571428571
Wet,45,32,Rough,654,Conservative,Wet,68.57142857142858
Wet,13,45,Smooth,679,Aggressive,Dry,64.02857142857142
Soft,23,44,Smooth,732,Conservative,Wet,55.885714285714286
Hard,34,18,Smooth,712,Balanced,Dry,44.37142857142858
Hard,19,14,Rough,620,Conservative,Wet,50.8
Soft,30,65,Rough,677,Balanced,Wet,85.28571428571428
Hard,45,38,Smooth,749,Balanced,Wet,54.42857142857143
Soft,21,17,Smooth,629,Aggressive,Wet,71.62857142857143
Hard,36,69,Rough,622,Aggressive,Wet,82.05714285714286
Soft,49,58,Rough,604,Aggressive,Wet,98.08571428571429
Medium,11,31,Smooth,662,Balanced,Dry,46.628571428571426
Hard,22,20,Rough,658,Aggressive,Dry,67.25714285714287
Hard,41,39,Smooth,681,Balanced,Dry,48.77142857142857
Hard,40,26,Rough,651,Aggressive,Dry,71.71428571428571
Hard,25,1,Rough,664,Balanced,Dry,55.14285714285714
Wet,41,38,Smooth,638,Conservative,Dry,48.62857142857143
Soft,41,55,Smooth,602,Aggressive,Dry,76.05714285714286
Soft,43,12,Rough,670,Aggressive,Wet,90.3142857142857
Hard,20,55,Smooth,614,Balanced,Wet,51.85714285714285
Soft,19,65,Smooth,671,Aggressive,Dry,73.08571428571429
Soft,24,55,Smooth,669,Conservative,Wet,57.65714285714286
Soft,26,27,Rough,603,Balanced,Dry,74.05714285714285
Medium,49,63,Smooth,693,Conservative,Wet,53.8
Soft,27,63,Rough,744,Balanced,Dry,79.4
Wet,18,55,Rough,633,Balanced,Dry,71.45714285714286
Hard,34,40,Smooth,723,Balanced,Dry,47.51428571428572
Hard,49,40,Rough,733,Aggressive,Dry,75.51428571428572
Wet,23,3,Rough,635,Conservative,Wet,60.028571428571425
Soft,34,56,Rough,698,Conservative,Wet,74.80000000000001
Hard,31,29,Rough,679,Balanced,Wet,65.34285714285714
Soft,39,45,Rough,665,Aggressive,Wet,94.22857142857143
Medium,29,55,Smooth,735,Balanced,Dry,53.65714285714286
Soft,30,30,Rough,742,Balanced,Wet,80.28571428571428
Medium,41,6,Rough,690,Conservative,Dry,54.05714285714286
Wet,30,53,Rough,679,Balanced,Dry,73.57142857142858
Wet,44,7,Smooth,658,Aggressive,Wet,69.80000000000001
Soft,41,54,Rough,609,Aggressive,Dry,90.91428571428573
Soft,39,68,Rough,606,Aggressive,Dry,92.51428571428573
Wet,48,43,Smooth,711,Aggressive,Dry,70.74285714285715
Medium,21,12,Smooth,675,Balanced,Wet,50.91428571428571
Hard,27,19,Smooth,611,Aggressive,Dry,53.114285714285714
